Company,Investment (Billion USD),Data Source
Sinohydro (PowerChina),55,https://regional.chinadaily.com.cn/pdf/2022EnvironmentalSocialandGovernanceReport.pdf
China Three Gorges Corp,50,https://www.ctg.com.cn/uiFramework/js/pdfjs/web/viewer.html?file=/ctgenglish/fileDir/resource/cms/article/1463740/1475253/2024010410500585182.pdf
China Huaneng Group,22,https://www.hkexnews.hk/listedco/listconews/sehk/2024/0419/2024041901184.pdf
China Huadian Corp,20,https://www.hkexnews.hk/listedco/listconews/sehk/2024/0419/2024041901184.pdf
Dongfang Electric,10,https://www.hkexnews.hk/listedco/listconews/sehk/2024/0429/2024042902814.pdf
China State Grid,32,https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/energy-transition/020123-china-to-maintain-renewables-growth-pace-in-2023-despite-uncertainty
China ExIm Bank,9,https://www.fitchratings.com/entity/state-grid-corporation-of-china-91535290
Chinese Development Bank (CDB),15,https://regional.chinadaily.com.cn/pdf/2022EnvironmentalSocialandGovernanceReport.pdf
Sinosure,12,www.sinosure.com.cn/en/images/information/report/2024/08/12/12162227ED8BC9F7777B57DD52EBC87B42CB8025.pdf
Others,30,https://english.www.gov.cn/news/202401/13/content_WS65a22a99c6d0868f4e8e30aa.html
