Date,Accredited_MW_Capacity,Committed_MW_Capacity,Probable_MW_Capacity
1/1/2016,0,0,424
1/8/2016,0,0,424
1/15/2016,0,0,424
1/22/2016,0,0,424
1/29/2016,0,0,424
2/5/2016,0,0,424
2/12/2016,0,0,424
2/19/2016,0,0,430
2/26/2016,0,0,430
3/4/2016,0,0,700
3/11/2016,0,0,700
3/18/2016,0,13,687
3/25/2016,0,13,687
4/1/2016,0,18,682
4/8/2016,0,193,507
4/15/2016,0,193,507
4/22/2016,0,193,507
4/29/2016,0,208,507
5/6/2016,0,208,507
5/13/2016,0,218,497
5/20/2016,0,218,497
5/27/2016,0,218,497
6/3/2016,0,218,497
6/10/2016,0,218,497
6/17/2016,0,218,497
6/24/2016,0,218,497
7/1/2016,0,318,397
7/8/2016,0,318,529
7/15/2016,0,329,518
7/22/2016,0,329,518
7/29/2016,0,329,518
8/5/2016,0,329,518
8/12/2016,0,329,518
8/19/2016,0,329,518
8/26/2016,0,329,718
9/2/2016,0,329,718
9/9/2016,0,329,765
9/16/2016,0,329,765
9/23/2016,0,329,765
9/30/2016,0,329,765
10/7/2016,0,329,765
10/14/2016,0,329,765
10/21/2016,0,329,765
10/28/2016,0,329,765
11/4/2016,0,539,765
11/11/2016,0,539,765
11/18/2016,0,539,765
11/25/2016,0,545,759
12/2/2016,0,595,759
12/9/2016,13,582,759
12/16/2016,13,943,398
12/23/2016,24,953,398
12/30/2016,24,1169,398
1/6/2017,54,1169,398
1/13/2017,54,1169,398
1/20/2017,54,1369,398
1/27/2017,54,1369,398
2/3/2017,54,1489,598
2/10/2017,157,1389,598
2/17/2017,157,1389,708
2/24/2017,157,1389,841
3/3/2017,166,1493,789
3/10/2017,166,1493,847
3/17/2017,166,1659,732
3/24/2017,191,1639,732
3/31/2017,191,1827,685
4/7/2017,191,1827,685
4/14/2017,191,1937,903
4/21/2017,191,2069,771
4/28/2017,191,2069,771
5/5/2017,191,2335,655
5/12/2017,191,2405,1371
5/19/2017,191,2405,1371
5/26/2017,191,2405,1371
