Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2001,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2002,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2003,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2005,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2007,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2008,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2009,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2012,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2013,0,0
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2000,398140.12,69255.873
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2001,402047.481,70782.401
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2002,418916.924,73144.439
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2003,439273.367,74691.477
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2004,458737.311,78068.515
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2005,476193.254,79338.553
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2006,494049.503,82408.265
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2007,523625.25,87691.5
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2008,551805.622,90953.5
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2009,593391.8,100539.75
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2010,627240.848,112547.75
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2011,672806.332,133761.25
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2012,739146.838,153792.25
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2013,819309.006,169809.185
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2014,888706.619,190390.218
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2015,980783.974,213210.836
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2016,1044447.812,218588.736
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2017,1093822.188,225255.295
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2018,1149472.673,241425.374
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2019,1204822.467,255831.328
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020,1193453.534,254829.832
Asia,Southern Asia,India,IND,356,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021,1195393.597,255726.427
