Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2013,313.6,82
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2014,542.4,143
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2015,603.3,161
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2016,619,161
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2017,678.9,177
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2018,687.8,176
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2019,649.7,148
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2020,530.8,117
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2021,669.5,141
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2022,571.1,122
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,On-grid electricity,2023,0,110
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2000,24162.8,4887.07
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2001,25228.1,5901.57
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2002,26451.8,6895.57
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2003,26922.5,6895.57
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2004,28088.6,7219.5
Asia,South-eastern Asia,Singapore,SGP,702,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2005,28430.2,7219.5
