name,description
China Energy Portal,"RT @JorritGosens: China's 2022 power stats: smallest annual growth in coal-fired power generation since 2015.
Also a year of very poor hydr…"
China Energy Portal,@DVMirchev @jikorsbakken @SuffolkJason @NatBullard @sjwrenlewis The question is if that pace keeps up with total de… https://t.co/lG5EtSXX48
China Energy Portal,"RT @JorritGosens: China is working towards a carbon emission peak, and aims to increase energy security.
We've assessed what this might mea…"
China Energy Portal,"RT @LHongqiao: I am launching ""Shuāng Tàn"", a newsletter in which I will be tracking China's decarbonisation

“Shuāng Tàn” = Peaking carbon…"
China Energy Portal,"RT @JorritGosens: China and Australia have announced net-zero targets. 

Join us on 16 March 13:00 to 16:00 to hear from a panel of 9 exper…"
China Energy Portal,"Further crisis-level stimulus towards construction and other high carbon investment is unlikely. 
Investment in win… https://t.co/CU53IBl6Lo"
China Energy Portal,"Next year will see a relatively stronger growth of low carbon sources next year, with fossil generation not just we… https://t.co/DVeTV4d2Yp"
China Energy Portal,"Both wind and PV posted incredible increases in capacity growth, only just behind last years record, for a total of… https://t.co/63kr54kN5Z"
China Energy Portal,"China 2021 power stats: huge jump in wind and PV installations and generation, although coal-fired power saw a big… https://t.co/PiQxp8srnk"
China Energy Portal,"The NEA reports China installed 53 GW of solar over 2021, bringing total installations to 306 GW.… https://t.co/AyU0UWGnd1"
China Energy Portal,@___n2k1 @energy_charts_d @fwieschollek @janusPrime @OliverHaas19 @ElmarMoelzer @VeroWendland @MartinSchulzeB… https://t.co/FsJLEeTlZU
China Energy Portal,@___n2k1 @energy_charts_d @fwieschollek @janusPrime @OliverHaas19 @ElmarMoelzer @VeroWendland @MartinSchulzeB… https://t.co/UzrK6F5ZRX
China Energy Portal,"@LHongqiao Yes, agreed that phase down, or trajectory, remains unclear.
But my point is also that coal cons reducti… https://t.co/d3sAckUU3u"
China Energy Portal,"Last year's WEO from the IEA suggested 'business as usual' for China, (Stated Policies), would see coal cons. stead… https://t.co/FbDo2GzqU6"
China Energy Portal,"The message to phase down coal in 15th FYP (2025-2030) is more of a let down than an ambition. 
That suggest the 'p… https://t.co/msyXdiTZ1Q"
China Energy Portal,"The plans on methane reduction are a surprise. The cover fossil fuels, waste, and agriculture. That means it woudl… https://t.co/9wvYBL7WuK"
China Energy Portal,"U.S.-China Joint Glasgow Declaration on Enhancing Climate Action in the 2020s:
1) Methane plans incl agriculture
2)… https://t.co/ZvsPc568RK"
China Energy Portal,"New installations of wind and PV are close to, but not above pre-pandemic levels just yet https://t.co/BaQ377OQPu"
China Energy Portal,The picture vs 2019 is not much different https://t.co/R19IbkZYkV
China Energy Portal,"Despite record installations of wind and PV at te end of last year, and despite recent disruptions in coal-fired po… https://t.co/nmRxjXzdfF"
China Energy Portal,RT @byfordt: 🇨🇳has just summitted new climate targets to the UN climate body – the headline targets are a step up from the 2015 submission…
China Energy Portal,"Further: ""low-cost renewable energy hydrogen production"", which would seem to rule out hydrogen from natural gas or… https://t.co/OWbai2fzoY"
China Energy Portal,"A few noteworthy items: plans for 50% of new housing and factory buildings to have rooftop PV.

Also mentions ""vigo… https://t.co/USBackiDSG"
China Energy Portal,"Apty from NDC, China also submitted an Long-Term Strategy document.
Unfortunately, again mostly repeats stated goal… https://t.co/0jiWoHxWtq"
China Energy Portal,"China's NDC submission formalizes commitments that were announced earlier. 
That may not be enough for global clima… https://t.co/LOPwJW0KKF"
China Energy Portal,"RT @KeithBradsher: China is gearing up fast to dig an extra 220 million tons of coal a year,  a full 1%  jump in humanity's emissions of ca…"
China Energy Portal,"This sounds exciting, but is not news. 
China hasn't officially submitted its 2nd NDC yet (only 13 countries have:… https://t.co/uzplCkJImg"
China Energy Portal,"RT @AsiaSocietyAus: PUBLIC WEBCAST | China Executive Briefing | Cooperating with #China on #ClimateChange | Thu 11 Nov 12 pm AEDT

Featurin…"
China Energy Portal,"Press Conf on ""Responding to Climate Change: China's Policies and Actions""
Mostly a summary of past achievements pl… https://t.co/MlPRQt1Dsq"
China Energy Portal,"Chinese high-level decarbonization plans coming thick and fast now.
Action plan for carbon peaking before 2030, inc… https://t.co/ulztrL24xG"
China Energy Portal,"Text and official translation also available on China Energy Portal. 
Translation needs some polishing, will get to… https://t.co/Szt3777EqC"
China Energy Portal,"Great analysis of China's ""1+N"" decarbonization plan. Headline plan only, no further target setting in this documen… https://t.co/keADpZXM1f"
China Energy Portal,"RT @LHongqiao: Xi Jinping: ""China will not build new coal-fired power projects abroad""

Full transcript:
https://t.co/VGUuQf5k1L https://t.…"
