name,description
RenewableEnergyIndia,Union Ministry of New and Renewable Energy Releases Guidelines for PM-Surya Ghar: Muft Bijli Yojana https://t.co/AkDDuFR1Na
RenewableEnergyIndia,Tripling Renewable Energy Capacity by 2030 Will Require $1.5 Trillion Per Year | https://t.co/JzCI9hSdWf #oilprice
RenewableEnergyIndia,India needs investments of $200 billion to establish renewable energy assets: Nomura https://t.co/ZKzLspSlvh
RenewableEnergyIndia,IREDA gets nod to set up retail subsidiary for renewable energy business https://t.co/UFr7Wy0qWZ
RenewableEnergyIndia,Gujarat looks to add another 20GW renewable energy capacity in Kutch and Banaskantha https://t.co/Pn3UIfttgJ
RenewableEnergyIndia,"Countries Off-Track in Meeting Tripling Renewable Energy Goal by 2030, Says International Agency Ahead of COP29… https://t.co/Em1eW8FSSC"
RenewableEnergyIndia,Sustainability through Solar Excellence https://t.co/VNiLuzOBBL
RenewableEnergyIndia,https://t.co/iLN7tEoK23
RenewableEnergyIndia,The world’s renewable energy potential is gridlocked https://t.co/ZL2bpwrFud
RenewableEnergyIndia,"Avaada’s Rs 13,650 crore plant to boost India’s renewable energy  https://t.co/aeoIWzDZuq"
RenewableEnergyIndia,"REC increases green financing with 37.3 per cent growth in renewable energy funding

https://t.co/3KFM3z77w1"
RenewableEnergyIndia,@PTI_News https://t.co/DnSe5w1nSO
RenewableEnergyIndia,"Amid AI hype, solar energy’s breakthroughs could reshape global energy landscape https://t.co/v1ZXdMG0UQ"
RenewableEnergyIndia,Indian companies move in as US cuts China out of its solar industry https://t.co/AOTBuAVjos
RenewableEnergyIndia,Peak power demand declines in Sept; renewable energy generation increases https://t.co/vPwfZgpkTS
RenewableEnergyIndia,"India's Renewable Energy Growth: 86% Increase in 10 Years 

https://t.co/u9wcK9E0Ck"
RenewableEnergyIndia,"Hindustan Zinc aims to switch to renewable energy in five-seven years, chairperson says https://t.co/BjeXfDW2Au"
RenewableEnergyIndia,@INCIndia @Jairam_Ramesh @Pawankhera Bakwas chodo aur sweekaar nahi result....aage bado sabkesab pagal bhare hai BA… https://t.co/wMH0r9vg4t
RenewableEnergyIndia,Indian Railways’ 1st hydrogen train on tracks soon? India to become 5th country to operate hydrogen-powered trains https://t.co/MAOHz8QO7F
RenewableEnergyIndia,GAIL India to set up 300-tonne biogas plant within Kudlu’s KCDC plant https://t.co/fsuo4iwbA4
RenewableEnergyIndia,"U.P. going green: UPERC nod to purchase of 1,500 MW solar power by state https://t.co/ZcehnrYTVv"
RenewableEnergyIndia,"INA Solar Sees Strong Response at REI Expo 2024, Plans 3 GW Panel and 1.5 GW Cell Capacity Expansion. INA Solar rec… https://t.co/NgccWYq9Vi"
RenewableEnergyIndia,"Pralhad Joshi to visit Germany to boost cooperation in renewable energy, sustainable development https://t.co/gCeQTfRDOE"
RenewableEnergyIndia,‘Chh’garh to lead way in renewable energy target’ https://t.co/k5wUZn6ZdD
RenewableEnergyIndia,"Grew Energy,  Aditya Green Energy to supply over 180 MW of Solar PV Modules under KUSUM Yojana https://t.co/FBZYjsIF8K"
RenewableEnergyIndia,ICMR signs MoU with NTPC Vidyut Vyapar Nigam to boost solar power usage in health research facilities https://t.co/IsRXS3Fjyw
RenewableEnergyIndia,Give residents more time to install rooftop solar plants: Kataria to Chandigarh admn https://t.co/oa8IzcFhuj
RenewableEnergyIndia,Gujarat’s Onshore  https://t.co/hTRTJnhcJS
RenewableEnergyIndia,"Jinchen, RenewSys Ink Phase 2 Agreement for 1.8 GW Solar Cell Line and 1 GW Module Line. Jinchen and RenewSys India… https://t.co/xAAAp88nwy"
RenewableEnergyIndia,India's domestic renewable energy sector makes 'notable contribution' to global workforce: https://t.co/36CfYmFiCo
RenewableEnergyIndia,https://t.co/z4RtLC5F3K
RenewableEnergyIndia,SolarfiX India ropes in Japan-based Kanemasa for solar module manufacturing in India https://t.co/ic5FnJXJD5
RenewableEnergyIndia,Axis Capital said it remains overweight on industrials and construction inputs. https://t.co/hIuKSkPhcM
RenewableEnergyIndia,SWC Grants Preliminary Approval for Renewable Energy Projects in Odisha https://t.co/OBMF4rz2Xy
RenewableEnergyIndia,"Reliance Group and Bhutan’s Druk Holding to Develop 1,270 MW Renewable Energy Projects via @apacnewsnetwork https://t.co/m4b9uDiy4Q"
RenewableEnergyIndia,"Renewable Energy India Expo 2024: A key event for solar, battery storage, and EV sectors https://t.co/uLzV7qZGGa"
RenewableEnergyIndia,India's green electricity tariffs may lead to financial losses for distribution companies https://t.co/AmbPtwcviT
RenewableEnergyIndia,"Union Minister of State for Coal and Mines, Shri Satish Chandra Dubey Inaugurates 51 Solar Power Plants of BCCL https://t.co/ZkYun8Wtli"
RenewableEnergyIndia,India’s Renewable Energy Surge: Over 1 Million Jobs Created In 2023 https://t.co/CTgY5oTvjr
RenewableEnergyIndia,DGVCL Pioneering Renewable Energy and Technological Innovations in Gujarat  https://t.co/zObGILKfEY
RenewableEnergyIndia,"Google announces renewable energy partnerships in India
 https://t.co/rJSfUQ4BPX"
RenewableEnergyIndia,"AM Green, Gail to jointly explore setting up of 2.5MW hybrid renewable energy projects in India https://t.co/6PwpgzrbVQ"
RenewableEnergyIndia,"Hydropower leads India's renewable sector with 4.5 lakh jobs in 2023, IRENA https://t.co/0Ja5XKRXrL"
RenewableEnergyIndia,India's domestic renewable energy sector makes 'notable contribution' to global workforce:  https://t.co/36CfYmFiCo
RenewableEnergyIndia,Leading renewable energy firms in India seek buyers for 20 Gw assets https://t.co/LKq0MC5qPm
RenewableEnergyIndia,Toxic waste is at the mercy of climate change https://t.co/XvN4F4hfRe
RenewableEnergyIndia,Tea Board announces Rs 664 crore project to support stakeholders with field-to-cups approach https://t.co/tUxVBTcHzI
RenewableEnergyIndia,Adani Group to supply clean energy for Google's India cloud operations https://t.co/rV3vMe3aVw
RenewableEnergyIndia,"REC raises USD500 million via green bond to support renewable energy projects

https://t.co/vaAIyapi8z"
RenewableEnergyIndia,https://t.co/VqrpgSQPoq
RenewableEnergyIndia,The Hydrogen Stream: Hygenco launches 1.1 GW renewable energy tender for green ammonia project https://t.co/XKnRSFvX6b
RenewableEnergyIndia,Odisha clears ₹4671 crore investment in renewable energy sector https://t.co/pMIPmmCvUy
RenewableEnergyIndia,https://t.co/DxSItOGjE2
RenewableEnergyIndia,https://t.co/k1PMKonKdB
RenewableEnergyIndia,Avaada Group to Invest Rs 1 Lakh Cr in Rajasthan Renewable Energy https://t.co/cQEo2mz4A4
RenewableEnergyIndia,Abraxas Power Corp. and Exploits Valley Renewable Energy Corporation announce EVREC Achieving Pre-Certification for… https://t.co/rie2a1h24d
RenewableEnergyIndia,Clean energy transition: The impact of financial costs on the development of renewable energy sources https://t.co/A7Tgq0of8S
RenewableEnergyIndia,How Water Systems Can Help Accelerate Renewable Energy Adoption | Technology Networks https://t.co/xS7sG3QwAH
RenewableEnergyIndia,IHCL Aims For 50% Renewable Energy By 2030 In Push For Responsible Tourism https://t.co/fczJ5HobaN
RenewableEnergyIndia,Bluebird Solar to Display Innovative Solar Products at Renewable Energy India Expo 2024 https://t.co/fG1cqH5PGN
RenewableEnergyIndia,Madhya Pradesh CM urges bizmen to invest in renewable energy sector https://t.co/lTCABRAYH1
RenewableEnergyIndia,APGENCO signs Joint Venture with NHPC to meet renewable energy goals https://t.co/KoitHvkeQn
RenewableEnergyIndia,Government encourages energy PSUs to  list renewable businesses in stock market https://t.co/lDfes3RiJi
RenewableEnergyIndia,https://t.co/OgmQAkOAIE
RenewableEnergyIndia,Exclusive: Waaree Renewable Tech eyes Enel's India business https://t.co/Hub7UUw6aa
RenewableEnergyIndia,Windergy India 2024: Accelerating Wind Power to Fuel India's Renewable Energy Goals https://t.co/YyDwOF4sL4
RenewableEnergyIndia,Untapped potential: Study shows how water systems can help accelerate renewable energy adoption https://t.co/EUOXHwaITH via @techxplore_com
RenewableEnergyIndia,"Octopus Energy to invest £2bn in UK renewable energy
 https://t.co/d7MIYUie9C"
RenewableEnergyIndia,@MyraSha47480348 @LtGovDelhi @socialjurist @rashtrapatibhvn Thats sick to hear 🙄
RenewableEnergyIndia,Zetwerk to supply made-in-India solar modules for NTPC's 1200 MW project in Gujarat https://t.co/1ioDTOliMI
RenewableEnergyIndia,Ambuja Cements plans ₹100 billion renewable energy push as it joins global Net Zero alliance… https://t.co/XtuJwSGFpN
RenewableEnergyIndia,Adani Green and TotalEnergies finalise $444-million JV for Gujarat solar projects https://t.co/DeaoaUeXgJ
RenewableEnergyIndia,https://t.co/QZBU9HyDcj
RenewableEnergyIndia,"Maharashtra government inks MoUs worth Rs 47,500 crore in renewable energy sector https://t.co/8uWmdr76oK"
RenewableEnergyIndia,How can we harness renewable energy for operating electric buses — and why we should do so https://t.co/rHiEgvLc4K
RenewableEnergyIndia,https://t.co/er42lAoC2Z
RenewableEnergyIndia,BluPine Energy commissions its first 120 MW solar project in Gujarat https://t.co/etfWb9xZj5
RenewableEnergyIndia,ADB and Bhutan Sign Loan Agreement for Solar Power Project https://t.co/S438GV8Qgi
RenewableEnergyIndia,"India’s Renewable Energy Revolution: AgriVijay, Next2Sun, and Wattkraft India to Launch Vertical Solar Farms https://t.co/bkcluKxWur"
RenewableEnergyIndia,Aditya Birla Renewables raises Rs 2500 crore https://t.co/yibptB1UOV
RenewableEnergyIndia,COP28 President Calls For Tripling Global Renewable Energy Investment To Meet 2030 Targets https://t.co/48xg2kZj2z
RenewableEnergyIndia,https://t.co/xvsU64UUe0
RenewableEnergyIndia,Utility Leaders Unite To Invest Over $116 Billion Annually In Renewable Energy And Grid Infrastructure – IRENA https://t.co/CG2zJngW4t
RenewableEnergyIndia,"Hartek Group Reaches 10 GW Solar Capacity Milestone, Enhancing India’s Renewable Energy Infrastructure https://t.co/X9aAmyQhwt"
RenewableEnergyIndia,Finance ministry to hold pre-budget meetings from October 10; first huddle with renewable energy ministry https://t.co/wGwnVFqAcN
RenewableEnergyIndia,Saudi Arabia launches tender to procure 4.5 GW of wind and solar capacity https://t.co/1s5z9JRdvr
RenewableEnergyIndia,India Hits Major Renewable Energy Milestone: Solar And Wind Dominate Power Generation With 84% In July 2024 https://t.co/Xz7ZB7g9Ae
RenewableEnergyIndia,"NTPC Green, MAHAPREIT partner on 10 GW of renewable energy projects https://t.co/iDezzhDY1c"
RenewableEnergyIndia,States put best foot forward in 500 GW of renewable energy capacity goal by 2030 - https://t.co/FV2AHmUKkC
RenewableEnergyIndia,IREDA CMD advocates 'DAS' principle to boost renewable energy investments https://t.co/3wY70hPjP3
RenewableEnergyIndia,Hopewind to Showcase All-Scenario PV Solutions with a Focus on C&amp;I and Utility-Scale PV String Inverters at REI 2024 https://t.co/oiLOTtYOZz
RenewableEnergyIndia,https://t.co/VrlC8uymgH
RenewableEnergyIndia,ICRA says renewables to reach 35% of India&amp;#8217;s power mix by 2030 https://t.co/tpqBks1ND0
RenewableEnergyIndia,https://t.co/0AGKTjqb7P
RenewableEnergyIndia,Nirmala Sitharaman discusses renewable energy with Uzbekistan Trade Minister in Samarkand https://t.co/ol7cmxztXB
RenewableEnergyIndia,Why are European renewable giants fleeing Vietnam? https://t.co/Lx2RILMS6N
RenewableEnergyIndia,Agrivoltaics – Panacea for India’s Energy Transition with Solar Power https://t.co/R7ZG73fgMs
RenewableEnergyIndia,Renewable energy generation v. grid stability - A conflict of objectives? https://t.co/3dKyP91rya
RenewableEnergyIndia,India Needs Climate Funding for Renewable Energy -https://t.co/4KN9g72xGG
RenewableEnergyIndia,81% of New Renewable Energy Capacity Added in 2023 Was Cheaper Than Fossil Fuels |  https://t.co/YHd6ImDIcz #oilprice
RenewableEnergyIndia,Sterling and Wilson Renewable Energy gets 2 new orders worth Rs 512 cr https://t.co/G7rOpigocT
RenewableEnergyIndia,@Shehzad_Ind Like how A. Ranganath says Secularism means separation of religion &amp; State. &amp; Cong State demonstrates… https://t.co/UpkXgtTrXa
RenewableEnergyIndia,@KapilSibal Coffee calling the Kettle Black 🧐😮😱🤣
RenewableEnergyIndia,"Optimization of resources becomes the key goal, as the society becomes more involved in the process of using clean… https://t.co/oTxl63QE68"
RenewableEnergyIndia,"Datta Infra secures INR 1,500 crore REC loan to develop 500 MW of renewable energy projects https://t.co/tI8bHC94W8"
RenewableEnergyIndia,"Suzlon aims to be renewable solutions leader, looks beyond wind - https://t.co/hWhezDUJ2t"
RenewableEnergyIndia,"How Much Photovoltaic or Wind Power Dominate Renewable Energy in Different Countries

https://t.co/HZt1flpWs2"
RenewableEnergyIndia,"NHPC Invites Bids For 1,200 MW Solar Projects With Energy Storage To Boost Renewable Power In India https://t.co/9FOzW8mIXI"
RenewableEnergyIndia,Australia is the 25th largest investor in India with foreign direct investments of $1.5 billion from April 2000 and… https://t.co/KnjbsrrHXu
RenewableEnergyIndia,"Climate goal to triple global renewable energy by 2030 within reach, IEA says https://t.co/EZsaijXmIq"
RenewableEnergyIndia,https://t.co/cHZrcY8wxq
RenewableEnergyIndia,| 'Centre addressing key challenges in the green energy sector' https://t.co/IZ6HxOdf10
RenewableEnergyIndia,Coal India forms JV for renewable energy business in Rajasthan - https://t.co/t6lMIffO8u
RenewableEnergyIndia,NTPC Green Energy IPO: Can it give NTPC stock a lift?... https://t.co/NR6m6wcw6c
RenewableEnergyIndia,@netanyahu https://t.co/z6k48lk5EV
RenewableEnergyIndia,They've got a plan to fight global warming. It could alter the oceans. https://t.co/lle0EuJh8S
RenewableEnergyIndia,@RadioGenoa 😂😂🤣🤣🤣
RenewableEnergyIndia,IGREL Renewables eyes fresh  ₹300 crore equity fundraise next fiscal https://t.co/7GYfyWDBh9
RenewableEnergyIndia,https://t.co/nKAbuV9O82
