name,description
EMA_sg,"Read more at https://t.co/5imkkQYYBO
 
#EMAsg #LTMS #ASEANPowerGrid"
EMA_sg,⚡ Double the capacity of cross-border power trade in Phase 2 of the Lao PDR-Thailand-Malaysia-Singapore Power Integ… https://t.co/N0SKSfzErC
EMA_sg,Everyone has a part to play in conserving electricity usage. Even the smallest actions can make a difference. 🌱… https://t.co/HbGC6cBpdf
EMA_sg,https://t.co/2Ry65oT90L
EMA_sg,We have an enhanced Energy Management System (EMS II)! This ensures a reliable power grid as we integrate more low-… https://t.co/GH2fnNZQJO
EMA_sg,"Our thanks to @IEA for co-organising this programme with us!
 
Read more at https://t.co/kyho0Gl7ZC
 
#EMAsg"
EMA_sg,"We are heartened by the discussions to advance the ASEAN Power Grid, which will go towards realising Southeast Asia… https://t.co/mmMbxbeOkh"
EMA_sg,Participants shared best practices in cross-border electricity trading and opportunities in advancing regional power grids.
EMA_sg,More than 160 participants across 19 countries joined the Singapore-International Energy Agency Regional Training P… https://t.co/NLBT3FsUnP
EMA_sg,"Discover how our colleague, Law Gee Yong, is playing a key role in our clean energy transition.🌱 Read more:… https://t.co/SckNWoToCy"
EMA_sg,"🌟 Spotlight on People of EMA: Meet Ram Jaspal Singh from our Corporate Communications Department! 🌟

We celebrate R… https://t.co/aKaS3aYVFk"
EMA_sg,"23 years of powering Singapore! 🌟 Celebrate our milestones in our commitment towards a clean energy future.

Read m… https://t.co/ew2UR6s9RL"
EMA_sg,"We had a vibrant exchange on hydrogen technologies, geothermal energy, and regional interconnectivity. We look forw… https://t.co/1ZqDFSieFY"
EMA_sg,"Our Assistant Chief Executive, Eugene Toh, welcomed Germany’s Parliamentary State Secretary for Economic Affairs an… https://t.co/YciF3PFkLS"
EMA_sg,"Kudos to Singapore Discovery Centre for being Singapore's first energy-positive museum! 🌍

Watch the news here:… https://t.co/JPraL2Se1j"
EMA_sg,Unlock your potential with EMA! Our Open Houses and Career Fairs have attracted a diverse pool of talent ready to e… https://t.co/kUbh1ENekf
EMA_sg,@IEA is setting up its first-ever office outside of its headquarters in Singapore! Read more:… https://t.co/u2U5dQw4ME
EMA_sg,@IEA is setting up its first-ever office outside of its headquarters in Singapore! Read more:… https://t.co/eVhXAtUPRv
EMA_sg,We launched Singapore’s first Centralised Power Plant Simulator! This standardises workforce training to enhance ou… https://t.co/ekiHA1bDzU
EMA_sg,🌱 Businesses &amp; households will receive support as Singapore transitions to clean energy.  https://t.co/Ukk7j1cg5Z… https://t.co/I1DzuV5dMk
EMA_sg,"🌟 Meet Faith Gan from our Energy Connections Office! This International Women’s Day, give a Like to celebrate her c… https://t.co/Z57NLxsfAb"
EMA_sg,Happy #WorldEngineeringDay! 🌐✨ Join us in honoring the contributions of engineers such as our colleague Samuel by l… https://t.co/clIAcGaJPj
EMA_sg,"Examples of infrastructure that could be supported by the Fund:
☑️ Undersea cables to import low-carbon electricity… https://t.co/ehECKkr2Mj"
EMA_sg,"To support infrastructure investments for Singapore’s energy transition to meet our net-zero target, we will be set… https://t.co/xDWnfzt0WG"
EMA_sg,"For more captivating stories like these, subscribe to our LinkedIn newsletter, Watts On, at https://t.co/hweo0TuIZu… https://t.co/hN6acn76vQ"
EMA_sg,Our youths are playing a part in driving change towards a net-zero energy future. Discover their passion and how th… https://t.co/0xvE2bskEm
EMA_sg,"🌟 Spotlight on People of EMA: Meet Zulkarnain Bin Hassan from the Electricity System Department! 🌟

We celebrate Zu… https://t.co/dmUZeaVtVV"
EMA_sg,Do you know about the LTMS Power Integration Project where Singapore imports up to 100 MW of hydropower from the re… https://t.co/E8T47pv9qS
EMA_sg,Exciting solar news! 🌞 @ChangiAirport will have the nation's largest rooftop solar system by 2025. 🛫… https://t.co/EamRt6b2DJ
EMA_sg,#EMAsg #SingaporeEnergyTransition
EMA_sg,Delighted to announce that @IEA will operate its first Regional Cooperation Centre in Singapore in the second half… https://t.co/zOejfGPKsN
EMA_sg,🌟 Shining the spotlight on our colleague Xuan Wei this #WomenInScience Day! 💡 As an engineer in our Energy Manageme… https://t.co/0am4Y9E3nF
EMA_sg,"🎊 Wishing all a happy and energising Chinese New Year! Hwatt ah!

#EMAsg #ChineseNewYear https://t.co/WgQbatP474"
EMA_sg,"RT @Mag_HR: #HRNews As a female engineer, Xuan Wei has admittedly faced some challenges early on due to the perception that engineering is…"
EMA_sg,"Keen to join the clean energy sector and contribute to the ongoing revolution? 💪

Find out how you can join us in s… https://t.co/iphwm55BTm"
EMA_sg,"We are happy to announce that YTL PowerSeraya Pte Ltd has been awarded a contract to build, own, and operate a new… https://t.co/iknTWMijF1"
EMA_sg,Singapore’s electricity demand continues to grow and ensuring our energy security and reliability is critical. https://t.co/SVz9XaQGqD
EMA_sg,"Applications close on 30 April 2024. Find out more at: https://t.co/JURStpbwpf
Open to Singapore and Permanent Resi… https://t.co/wirnl8NTIz"
EMA_sg,"📣 Applications are now open for the Energy-Industry Scholarship (EIS)!

Here’s your chance to contribute to Singapo… https://t.co/4LqqlK5nV7"
EMA_sg,"Discover more about our clean energy transition. Visit our website at ➡️ https://t.co/EURdlC6BLa 

#EMAsg… https://t.co/Bd3d8nDLGr"
EMA_sg,"On this International Day of Clean Energy, we celebrate collective efforts towards a sustainable future, and congra… https://t.co/3mpQlaOtYL"
EMA_sg,We had a fruitful discussion on energy collaboration and look forward to working closely with PLN to advance the en… https://t.co/euanGdoaQy
EMA_sg,"Our Chief Executive, Mr Ngiam Shih Chun, hosted a delegation from PT PLN (Persero) led by President Director Darmaw… https://t.co/ApP8wyYh5P"
EMA_sg,"More about careers here: https://t.co/Fimr4NFjYu

#EMAsg #CareerFair #PoweringLives"
EMA_sg,#DidYouKnow that the clean energy sector is expected to grow by 80% by 2032? Join us at the Singapore Institute of… https://t.co/203foeMTMy
EMA_sg,Play a part in shaping a clean and sustainable Singapore. Discover the amazing opportunities waiting for you at EMA… https://t.co/jzTWREwWiJ
EMA_sg,"Not sure about your post-graduation path? Join us for a conversation at the upcoming open houses!

We’ll be at… https://t.co/oMh7ssGSdD"
EMA_sg,The Q1 2024 electricity tariff rate will apply to residential consumers who buy electricity from SP Group at the re… https://t.co/aRzWKyApLD
EMA_sg,"To even out significant fluctuations in fuel prices, the electricity tariff is based on fuel prices over the past 2… https://t.co/1gJjMhBB8u"
EMA_sg,What an incredible year 2023 has been! Thanks to everyone who supported us in shaping Singapore's clean energy futu… https://t.co/ULcxnia9BJ
EMA_sg,This award is truly a testament to our collaborative efforts in delivering innovative solutions that make a positiv… https://t.co/PIAjtvLgJa
EMA_sg,Our heartfelt gratitude goes out to S&amp;P Global Commodity Insights for acknowledging our dedication to project imple… https://t.co/3lnXnVZHux
EMA_sg,Thrilled to share that we have won the Infrastructure Project of the Year award at the Platts Global Energy Awards… https://t.co/ii8krn6qzh
EMA_sg,We are incredibly honoured to be one of the finalists worldwide leading the charge towards a clean energy future.… https://t.co/x6hmYoDqKB
EMA_sg,"We are also the only finalist from Southeast Asia for this category!

This recognition by S&amp;P Global Commodity Insi… https://t.co/vza6uDVqII"
EMA_sg,We are a finalist for the Infrastructure Project of the Year for the Platts Global Energy Awards 2023. This is for… https://t.co/mlLLtsJk9G
EMA_sg,Our Chief Executive Mr Ngiam Shih Chun was in Hong Kong SAR to meet with representatives from the Hong Kong Electri… https://t.co/cUOir9GAoS
EMA_sg,Enhancing battery life with precision🔋#NTUsg scientists and Durapower introduce an #AI and #IoT system for Li-ion b… https://t.co/MrRPgKw53F
EMA_sg,"We are happy to have partnered with EDP Renewables APAC and NParks to enhance the island’s micro-grid!

Find out mo… https://t.co/KFykD15wCC"
EMA_sg,"With more solar panels and the use of energy storage systems, households and businesses on Pulau Ubin are relying l… https://t.co/EIXLtaS8oZ"
EMA_sg,Our EAP was launched in 2018 and nurtures tertiary students driven by their passion to address energy-related issue… https://t.co/nfPGsGWeFQ
EMA_sg,"They have completed our training programme with their dedicated efforts, which saw them going on immersive learning… https://t.co/T3Z4b4g6rz"
EMA_sg,"Congratulations to the following individuals for being awarded as Energy Ambassador Programme (EAP) graduates:
🎓 Ji… https://t.co/CsDYkW67Hu"
EMA_sg,"Learn more about the EIS and the incredible opportunities it offers here: https://t.co/hom6uiJPiS

#EMAsg #EIS #SIEW2023"
EMA_sg,"Meet this year's Energy Industry Scholarship (EIS) awardees, all hailing from Ngee Ann Polytechnic. 🎓 These bright… https://t.co/rA6anJlCDg"
EMA_sg,"We're on track to achieve our target of at least 2GWp of solar capacity by 2030!

Read more at:… https://t.co/k5Ab1FjSJY"
EMA_sg,"#DidYouKnow Solar power is Singapore's most promising renewable energy source, and we now have over 1GWp of install… https://t.co/LSJyDTNOTq"
EMA_sg,"This will help to facilitate the deployment of clean and efficient power generation units in Singapore.

Read more… https://t.co/DjIJH65crF"
EMA_sg,"To meet Singapore’s net zero emissions goal by 2050, we will be implementing emission standards for new and repower… https://t.co/SZJzMFLUN6"
EMA_sg,"As the use of Distributed Energy Resources like solar generation systems, battery Energy Storage Systems, and Elect… https://t.co/pQc4ARXz5a"
EMA_sg,"To future-proof Singapore’s energy grid infrastructure, we are working with SP Group on developing a power grid dig… https://t.co/dnLjPXFZEl"
EMA_sg,"In collaboration with Singapore Institute of Technology, this initiative is set to commence next month in the Pungg… https://t.co/nyDoFlLDlJ"
EMA_sg,"To enhance our power grid's resilience by utilising electric vehicle batteries to meet energy demand when needed, a… https://t.co/Fhn7zxSQXq"
EMA_sg,"A Conditional Approval means that a project proposal is viable, and that it can proceed towards the next steps of d… https://t.co/SdSqDDVipF"
EMA_sg,"With our latest Conditional Approval for 1.2GW of low carbon electricity imports from Vietnam, Singapore is on trac… https://t.co/fqSjoXTgzc"
EMA_sg,"Together with Maritime and Port Authority of Singapore (MPA), we’ve shortlisted six consortiums to develop proposal… https://t.co/mpivD7w6kj"
EMA_sg,#DidYouKnow Ammonia is a promising hydrogen carrier that has potential in playing a vital role to power our clean e… https://t.co/hYMRH2IRmr
EMA_sg,🌍💚 Learn more about our transition towards a clean energy future in our latest Annual Report:… https://t.co/TO3dnly23f
EMA_sg,It could also help to overcome Singapore’s land constraints since its deployment footprint is up to 40% less than a… https://t.co/ytVndt1uu8
EMA_sg,"With a maximum storage capacity of 7.5 megawatt hour, the floating and stacked ESS can supply electricity for more… https://t.co/zBizgIMBum"
EMA_sg,Southeast Asia’s first stacked Energy Storage System (ESS) at Seatrium’s Floating Living Lab will start operations… https://t.co/kE0c0Lgd6P
EMA_sg,"Singapore has one of the most reliable electricity systems in the world.

Learn more about how we are safeguarding… https://t.co/p3luDatxRb"
EMA_sg,"Through the Four Switches of energy supply, Singapore is taking active steps towards a clean energy future. Explore… https://t.co/l19EzUohj7"
EMA_sg,"A shout-out to the heroes who work behind the scenes for the reliable electricity supply we enjoy!

https://t.co/dcM3txc7K1

#EMAsg"
EMA_sg,"Read more at: https://t.co/DDCiubsdH7

#EMAsg #EnergyResilience"
EMA_sg,"To safeguard our nation’s energy system, an Energy Supply Resilience Advisory Panel will be set up to ensure its re… https://t.co/vngHX8BZU2"
EMA_sg,"Read more at: https://t.co/L08uMlX5Ar

#EMAsg #ElectricityImports"
EMA_sg,These Conditional Approvals build on multiple Memoranda of Understanding on energy corporation signed between Indon… https://t.co/ANzd46Cjaz
EMA_sg,4GW of imported electricity would account for around 30% of our projected electricity supply by 2035. The imported… https://t.co/Q6k4FI4z2O
