Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW),Heat Generation (TJ),Public Flows (2021 USD M),SDG 7a1 Intl. Public Flows (2021 USD M),SDG 7b1 RE capacity per capita (W/inhabitant)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2000,,,,0.305800165,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2001,,,,0.628154206,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2002,,,,2.314698776,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2003,,,,0.123750811,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2004,,,,0.709080946,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2006,,,,0.098960582,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2007,,,,0.542035529,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2008,,,,0.326714351,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,All types,2011,,,,99.84255636,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2000,,,1255697.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2001,,,1317832.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2002,,,1432184.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2003,,,1572887.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2004,,,1720486.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2005,,,2108559.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2006,,,2279029.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2007,,,2413104.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2008,,,2380697.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2009,,,2462485.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2010,,,2709365.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2011,,,2923095.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2012,,,3139110.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2013,,,3388944.0,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2014,,,3693369.948,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2015,,,3842867.065,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2016,,,3970019.146,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2017,,,5182735.764,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2018,,,4657700.331,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2019,,,4525081.808,,,
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Coal and peat,Coal and peat,Heat (Commercial),2020,,,4651351.757,,,
